Overall,Overall.1,Overall.2,Overall.3,Overall.4,Overall.5,Conf.,Conf..1,Home,Home.1,Away,Away.1,Points,Points.1,School Advanced,School Advanced.1,School Advanced.2,School Advanced.3,School Advanced.4,School Advanced.5,School Advanced.6,School Advanced.7,School Advanced.8,School Advanced.9,School Advanced.10,School Advanced.11,School Advanced.12,Year
34,31,3,.912,9.87,-3.07,18,0,15,0,11,1,2690,2150,68.3,115.5,.325,.377,.567,55.5,51.2,11.4,9.5,.542,14.1,35.8,.225,2022.0
32,21,11,.656,-2.94,-6.36,12,6,9,6,11,5,2079,1924,64.7,99.7,.302,.315,.507,54.3,50.9,10.8,10.4,.481,16.7,33.7,.198,2022.0
32,11,21,.344,3.77,6.37,4,16,7,10,3,7,2336,2419,67.9,105.4,.291,.392,.514,48.1,43.9,10.2,9.6,.479,12.4,30.2,.211,2022.0
32,10,22,.313,3.00,8.25,4,16,7,12,3,8,2345,2513,72.0,99.8,.333,.374,.540,45.2,49.0,9.8,7.2,.503,15.6,20.5,.244,2022.0
31,13,18,.419,3.71,6.07,6,12,7,7,3,9,2249,2284,71.2,101.8,.321,.363,.546,50.2,56.5,9.0,10.0,.510,16.6,24.5,.240,2022.0
32,18,14,.563,7.20,4.58,10,8,14,4,4,7,2236,2099,67.0,104.3,.301,.425,.531,50.8,56.5,9.1,8.6,.496,14.5,27.1,.222,2022.0
28,15,13,.536,-6.32,-7.21,10,8,10,4,5,9,1925,1819,63.6,108.2,.252,.412,.536,53.1,48.2,7.3,8.6,.515,12.4,28.8,.169,2022.0
32,13,19,.406,1.25,4.32,5,12,11,7,2,9,2376,2411,71.5,103.0,.319,.377,.537,47.4,45.1,8.7,11.2,.499,14.5,23.8,.239,2022.0
34,27,7,.794,7.11,1.24,13,4,13,2,9,3,2464,2197,68.3,105.7,.341,.424,.554,55.1,53.5,7.3,12.2,.524,17.7,33.0,.239,2022.0
32,18,14,.563,-7.88,-7.16,10,4,12,2,3,10,2469,2385,74.9,102.2,.399,.225,.544,49.3,46.7,10.5,7.3,.501,16.8,26.8,.292,2022.0
30,14,16,.467,-3.09,-2.98,9,11,7,4,5,10,2022,1965,65.7,101.3,.277,.361,.533,48.7,49.8,8.5,7.5,.501,14.7,23.2,.202,2022.0
33,21,12,.636,-3.62,-5.90,11,3,11,1,7,8,2590,2352,72.5,107.5,.210,.379,.542,50.9,44.0,11.3,10.6,.531,14.5,31.5,.131,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
29,11,18,.379,-14.63,-6.17,6,12,6,8,5,10,1826,2030,67.3,92.4,.311,.355,.496,47.9,44.7,8.9,10.4,.467,16.8,23.0,.205,2022.0
31,24,7,.774,-3.91,-9.30,12,2,11,0,7,6,2302,1997,70.7,105.0,.371,.356,.554,53.4,47.4,9.4,11.2,.522,17.3,30.7,.259,2022.0
30,9,21,.300,-11.33,-3.21,2,14,6,7,3,12,2081,2056,70.6,97.4,.230,.413,.493,48.2,40.4,9.6,9.4,.460,14.5,27.5,.173,2022.0
39,29,10,.744,15.50,8.89,15,5,15,2,8,3,3038,2780,70.3,109.7,.303,.381,.551,55.8,54.1,7.3,9.7,.515,14.2,31.8,.232,2022.0
32,12,20,.375,-9.91,-4.46,6,10,7,4,3,13,2167,2250,68.5,98.1,.284,.341,.503,49.3,48.6,11.3,9.8,.478,15.9,29.9,.186,2022.0
31,16,15,.516,-11.39,-7.47,8,5,9,2,5,11,2256,2120,70.9,101.5,.363,.336,.534,52.3,47.5,12.2,7.0,.505,18.8,33.5,.243,2022.0
31,6,25,.194,-16.57,-5.26,2,16,4,11,1,13,2178,2444,69.4,100.9,.315,.441,.519,49.4,50.5,5.7,4.9,.481,15.0,26.6,.231,2022.0
33,23,10,.697,-1.60,-4.66,13,5,12,3,9,6,2469,2267,68.2,108.0,.339,.373,.566,53.4,42.3,5.6,8.4,.528,15.0,25.3,.258,2022.0
31,11,20,.355,-8.35,0.08,7,9,7,5,4,15,2124,2206,69.1,98.4,.298,.501,.534,46.2,54.3,8.0,10.8,.501,18.5,26.2,.217,2022.0
32,25,7,.781,8.98,1.28,16,2,13,3,9,1,2083,1783,60.6,106.5,.369,.423,.543,53.6,48.6,10.7,8.0,.518,16.0,32.3,.240,2022.0
31,9,22,.290,-6.00,-1.19,2,16,6,8,0,12,1993,2142,65.4,97.5,.306,.405,.536,51.6,49.6,7.1,7.7,.501,18.9,26.3,.225,2022.0
32,9,23,.281,-13.50,-4.10,5,15,5,11,3,11,2161,2347,67.8,98.8,.281,.419,.517,52.2,52.3,6.6,6.9,.492,17.1,28.6,.186,2022.0
38,22,16,.579,-4.53,-3.67,13,7,9,4,8,9,2962,2924,70.7,109.2,.303,.462,.586,50.5,44.5,5.6,7.1,.563,15.7,22.9,.215,2022.0
30,9,21,.300,-10.50,-3.07,6,14,3,8,6,11,1923,2146,68.6,93.1,.331,.335,.505,47.1,48.8,9.1,7.9,.472,17.7,24.3,.224,2022.0
32,20,12,.625,5.79,3.43,14,4,10,4,9,5,2383,2273,67.6,108.0,.325,.436,.576,50.1,45.8,8.3,4.8,.537,14.7,21.0,.256,2022.0
32,20,12,.625,-3.19,-6.19,14,6,12,4,7,7,2237,2083,65.6,104.9,.259,.432,.531,51.9,54.7,13.6,7.4,.503,16.6,35.3,.185,2022.0
31,15,16,.484,8.91,7.11,7,13,10,6,3,8,2262,2168,68.8,104.4,.256,.387,.523,49.3,59.5,9.3,10.7,.495,12.3,25.4,.184,2022.0
32,9,23,.281,-14.06,-3.20,5,9,6,6,2,14,2363,2573,73.2,100.9,.244,.338,.526,48.5,53.7,8.7,8.6,.503,16.6,29.3,.169,2022.0
35,24,11,.686,11.87,7.01,15,5,14,1,7,5,2540,2349,65.9,108.6,.267,.423,.571,50.2,53.8,7.8,4.8,.543,14.1,22.4,.201,2022.0
32,20,12,.625,-1.52,-4.06,12,7,10,3,7,8,2381,2194,69.0,107.3,.334,.415,.548,49.4,51.9,13.0,6.9,.502,15.3,31.4,.265,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
35,25,10,.714,1.50,-4.17,14,6,15,2,8,6,2591,2378,69.0,107.3,.315,.452,.541,49.4,49.1,10.9,7.4,.507,13.3,27.4,.230,2022.0
32,20,12,.625,14.17,9.08,12,8,13,3,5,6,2329,2166,65.1,110.9,.334,.395,.578,52.0,48.8,6.9,12.8,.543,15.1,29.3,.253,2022.0
35,19,16,.543,14.12,10.10,7,11,12,6,3,8,2417,2276,66.1,103.0,.274,.413,.575,51.0,55.5,11.0,5.2,.548,19.7,25.8,.205,2022.0
30,15,15,.500,13.28,10.58,8,10,10,6,3,8,2051,1970,68.8,96.9,.330,.314,.510,50.8,50.4,12.1,15.7,.480,18.4,32.3,.220,2022.0
32,13,19,.406,-1.32,-0.09,8,10,10,4,3,11,2127,2145,65.7,100.8,.340,.265,.506,52.5,50.3,9.7,10.6,.473,15.3,32.2,.229,2022.0
30,5,25,.167,-16.99,-2.27,4,14,5,9,0,15,2088,2505,71.4,97.4,.286,.341,.525,46.9,43.4,6.7,6.9,.492,17.1,24.2,.209,2022.0
31,19,12,.613,-0.84,-4.49,12,6,10,5,8,6,2582,2306,72.2,114.4,.232,.462,.567,52.8,38.8,7.6,10.2,.544,11.9,28.4,.170,2022.0
35,20,15,.571,10.05,8.05,11,9,12,5,6,6,2532,2440,68.4,105.0,.292,.360,.536,49.7,45.5,9.9,9.4,.511,14.8,30.0,.198,2022.0
31,3,28,.097,-1.44,8.40,1,19,3,13,0,12,2117,2422,67.8,99.1,.276,.308,.521,45.7,47.3,8.7,8.5,.492,16.1,26.2,.196,2022.0
30,8,22,.267,-8.02,0.41,3,11,7,7,0,13,1976,2182,69.5,94.3,.319,.335,.502,48.8,48.3,9.2,7.9,.468,15.8,22.7,.219,2022.0
31,14,17,.452,8.72,9.10,7,13,10,5,1,10,2003,2015,62.8,101.6,.218,.426,.530,53.0,49.7,8.3,6.2,.505,16.2,28.6,.160,2022.0
28,12,16,.429,-3.93,-0.50,9,5,6,3,5,10,2017,2113,69.0,103.4,.242,.403,.539,48.8,47.3,7.9,6.0,.513,15.0,25.2,.176,2022.0
32,7,25,.219,-7.04,3.42,1,15,7,9,0,13,2183,2480,71.7,94.4,.238,.352,.506,47.6,58.4,7.8,6.1,.478,17.9,26.6,.171,2022.0
32,11,21,.344,0.45,6.98,6,14,8,11,3,9,1969,2178,64.2,95.8,.394,.336,.509,52.1,52.1,8.4,12.4,.467,18.4,30.5,.274,2022.0
34,19,15,.559,-1.71,-1.11,7,7,11,4,6,9,2524,2454,72.0,102.7,.350,.384,.551,50.2,56.8,7.0,6.8,.504,16.4,23.9,.277,2022.0
31,14,17,.452,-7.70,-5.67,10,10,7,7,5,9,2280,2237,72.2,101.0,.318,.336,.520,47.1,42.9,12.8,9.4,.481,14.9,27.3,.236,2022.0
27,8,19,.296,-10.47,-3.66,8,8,5,4,3,13,1877,2061,71.8,95.5,.385,.327,.524,49.1,47.7,11.7,8.2,.484,20.8,31.7,.271,2022.0
32,12,20,.375,-8.47,-3.65,4,12,7,7,3,12,2170,2174,66.5,98.5,.315,.360,.502,53.1,50.8,11.5,8.4,.471,16.7,33.9,.212,2022.0
30,23,7,.767,2.65,-3.95,12,2,13,1,8,4,2395,2103,68.7,114.7,.208,.453,.584,51.4,51.0,8.9,4.4,.575,12.9,25.8,.133,2022.0
33,27,6,.818,13.08,7.75,14,3,16,1,7,2,2360,2184,65.9,106.4,.370,.380,.540,52.2,54.1,7.5,9.7,.500,14.7,30.3,.269,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
37,29,8,.784,19.15,8.23,14,6,16,1,5,5,2936,2532,66.7,117.8,.382,.392,.593,57.1,58.6,6.9,9.7,.565,15.0,35.2,.272,2022.0
33,21,12,.636,-5.59,-6.69,15,6,14,2,6,7,2424,2298,69.4,104.3,.273,.444,.568,48.1,53.8,12.4,7.4,.540,17.2,23.2,.204,2022.0
31,14,17,.452,-5.56,-4.20,7,13,8,7,4,9,2226,2216,69.3,103.2,.266,.438,.540,50.7,56.5,9.1,5.7,.507,16.3,28.7,.203,2022.0
29,11,18,.379,-9.23,-3.90,7,9,8,4,3,12,1832,1955,65.4,95.3,.278,.408,.503,50.3,47.4,10.0,4.7,.477,18.0,28.9,.186,2022.0
31,15,16,.484,2.92,1.22,5,12,10,5,3,9,2081,2015,68.2,98.5,.360,.292,.527,51.5,54.2,10.8,18.2,.505,18.3,28.6,.223,2022.0
33,16,17,.485,-2.74,-1.19,7,11,10,5,4,8,2446,2421,68.4,106.8,.305,.424,.564,50.8,59.1,7.4,4.5,.537,16.0,26.6,.218,2022.0
37,24,13,.649,7.07,4.48,10,8,11,4,7,5,2628,2532,67.4,104.8,.310,.417,.542,47.6,57.4,11.2,6.3,.511,13.0,22.4,.223,2022.0
33,14,19,.424,-5.87,-3.56,8,12,7,6,4,11,2237,2286,68.3,98.2,.273,.286,.496,50.5,50.8,9.9,7.7,.460,14.8,29.3,.201,2022.0
32,8,24,.250,-12.50,-5.47,5,16,4,10,4,14,2220,2390,67.7,101.7,.283,.319,.551,49.3,49.2,8.8,10.1,.517,18.4,28.5,.215,2022.0
32,18,14,.563,8.78,6.81,12,8,14,3,4,9,2192,2129,65.5,102.9,.262,.316,.525,51.4,58.8,10.6,11.7,.499,15.0,29.6,.184,2022.0
29,11,18,.379,-12.06,-5.36,6,14,5,8,4,9,1898,2035,66.4,98.1,.283,.338,.518,46.5,45.8,8.9,8.1,.492,14.9,22.4,.192,2022.0
30,10,20,.333,-13.41,-8.79,6,10,6,7,4,13,2180,2254,69.3,104.0,.247,.390,.538,50.9,54.0,7.8,5.7,.512,17.0,31.8,.179,2022.0
30,9,21,.300,-14.57,-7.91,5,13,4,8,5,13,2058,2205,68.9,98.4,.301,.311,.498,49.3,50.9,9.4,7.3,.472,15.5,31.0,.195,2022.0
30,11,19,.367,1.00,2.46,5,13,9,7,1,10,2028,2072,68.5,97.9,.229,.449,.515,51.7,54.4,7.1,5.9,.497,17.1,27.0,.150,2022.0
35,23,12,.657,9.83,3.45,12,6,14,5,5,6,2666,2376,69.0,109.2,.322,.306,.553,54.5,54.0,9.2,8.4,.515,15.7,34.4,.246,2022.0
34,26,8,.765,14.82,6.58,12,3,16,0,6,4,2370,2061,65.5,106.5,.240,.363,.556,53.4,51.6,10.6,6.6,.528,15.2,27.8,.182,2022.0
34,22,12,.647,2.96,-0.47,14,6,9,4,7,7,2277,2125,66.7,99.7,.371,.303,.519,51.5,52.4,10.5,14.8,.480,17.2,31.3,.260,2022.0
33,19,14,.576,0.07,-1.16,13,5,11,2,5,8,2272,2082,68.8,99.7,.244,.422,.513,52.2,55.1,11.0,8.1,.499,15.8,27.9,.148,2022.0
32,21,11,.656,-3.01,-1.76,10,8,13,2,5,8,2390,2363,70.5,105.1,.283,.435,.548,51.1,48.0,10.5,9.2,.519,16.8,30.6,.207,2022.0
31,15,16,.484,-3.32,1.48,7,9,8,6,5,8,2041,2086,67.4,96.9,.258,.283,.506,50.6,40.0,7.5,8.6,.476,16.1,27.0,.184,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
32,23,9,.719,13.13,5.85,13,4,14,1,5,5,2093,1860,65.3,99.0,.311,.308,.518,51.5,50.2,11.3,14.4,.487,16.8,29.5,.215,2022.0
34,24,10,.706,14.12,5.24,10,6,14,4,7,2,2630,2304,70.9,108.7,.290,.453,.560,53.4,46.9,10.8,11.6,.537,15.6,30.2,.201,2022.0
31,8,23,.258,-7.01,3.79,1,17,7,9,1,13,1993,2242,66.3,96.5,.223,.451,.525,46.2,55.0,7.8,8.2,.507,17.7,22.4,.147,2022.0
33,21,12,.636,8.98,3.61,10,5,14,4,5,6,2550,2373,71.4,107.8,.276,.321,.575,50.4,52.5,8.3,8.8,.545,14.7,22.8,.210,2022.0
32,23,9,.719,1.96,-4.10,14,4,17,2,6,6,2395,2132,71.8,103.8,.280,.458,.531,50.3,52.6,9.6,10.1,.494,14.1,26.4,.214,2022.0
32,21,11,.656,12.75,8.52,11,8,13,3,6,5,2302,2125,68.7,104.3,.312,.359,.521,51.8,40.8,10.2,13.8,.481,14.9,32.6,.235,2022.0
29,15,14,.517,-6.40,-3.50,12,8,8,5,7,8,1922,2006,67.2,97.4,.289,.340,.521,48.2,42.1,9.1,9.8,.487,16.5,24.5,.212,2022.0
33,21,12,.636,0.23,-3.59,9,7,15,3,4,8,2362,2111,67.5,105.2,.317,.354,.547,49.8,45.5,10.2,14.3,.519,16.2,28.9,.219,2022.0
31,18,13,.581,7.14,8.37,9,9,12,4,4,7,2200,2178,72.2,97.9,.286,.349,.506,51.3,53.6,10.8,13.7,.479,17.8,34.3,.192,2022.0
31,15,16,.484,-13.04,-8.39,7,7,8,5,5,8,2227,2249,73.7,96.3,.312,.324,.478,52.9,47.6,8.9,10.1,.441,16.4,35.7,.215,2022.0
32,15,17,.469,-9.01,-4.11,10,6,6,7,8,9,2287,2341,69.4,102.1,.290,.386,.551,47.4,53.7,9.1,9.8,.518,16.4,22.7,.219,2022.0
31,19,12,.613,-4.43,-5.61,11,7,11,4,6,7,2329,2198,67.5,110.5,.337,.332,.564,52.9,44.6,6.5,6.6,.528,13.0,27.1,.253,2022.0
35,30,5,.857,6.60,-3.77,18,0,14,0,10,3,3005,2561,71.7,119.3,.333,.354,.627,52.7,49.0,8.5,6.9,.600,13.8,24.0,.253,2022.0
31,8,23,.258,-3.05,4.40,3,15,6,10,2,9,1781,2012,65.9,87.2,.254,.306,.444,50.0,50.6,9.4,11.9,.413,16.2,29.6,.169,2022.0
32,14,18,.438,-7.19,-4.69,8,9,8,5,5,10,2418,2473,72.6,103.7,.366,.436,.551,48.1,54.5,8.9,7.3,.512,16.1,25.7,.268,2022.0
34,19,15,.559,-9.03,-5.77,10,4,10,1,5,11,2679,2643,73.4,106.9,.369,.426,.575,47.5,57.0,10.8,10.0,.536,17.3,27.0,.280,2022.0
31,17,14,.548,-5.17,-6.90,11,6,9,2,8,11,2229,2105,72.1,99.3,.347,.336,.533,47.7,52.5,14.5,7.8,.500,17.7,27.7,.242,2022.0
34,26,8,.765,12.50,6.09,14,6,13,3,9,3,2461,2243,67.5,106.5,.309,.322,.536,54.3,53.3,7.4,11.1,.512,15.3,33.5,.205,2022.0
31,16,15,.516,2.83,0.73,9,9,11,4,4,8,1985,1902,62.9,101.7,.290,.422,.545,49.6,52.2,8.7,6.0,.520,16.3,22.7,.200,2022.0
32,11,21,.344,-10.37,-4.71,5,13,8,5,3,13,2161,2238,69.1,96.6,.336,.350,.504,51.4,51.0,10.2,11.1,.469,18.4,34.1,.232,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
33,24,9,.727,11.14,4.44,13,4,17,1,6,5,2436,2215,69.5,105.8,.356,.422,.555,50.5,55.3,9.0,10.4,.515,15.6,27.6,.267,2022.0
33,7,26,.212,-13.58,-0.38,1,17,3,11,1,14,2126,2471,68.3,93.6,.270,.303,.505,48.0,50.7,7.3,8.1,.477,17.3,23.6,.186,2022.0
35,23,12,.657,-1.51,-4.57,14,6,13,3,8,8,2720,2538,70.8,108.3,.338,.408,.561,53.4,43.9,8.4,6.9,.531,15.5,28.7,.241,2022.0
33,23,10,.697,8.27,4.79,12,5,13,2,7,4,2309,2194,66.2,105.2,.259,.315,.536,50.0,52.0,9.5,14.9,.505,13.7,26.9,.195,2022.0
30,10,20,.333,-13.49,-7.93,7,11,3,9,7,9,2017,2116,68.2,97.7,.243,.366,.496,49.4,47.9,9.7,6.6,.467,15.4,30.0,.173,2022.0
32,17,15,.531,11.95,6.51,8,11,12,7,4,7,2547,2373,74.2,106.4,.261,.324,.530,49.3,61.9,11.8,14.5,.508,13.7,30.7,.176,2022.0
30,10,20,.333,-11.15,-5.59,4,14,5,8,3,12,2241,2260,68.2,109.5,.223,.515,.558,45.5,47.1,7.6,3.8,.533,10.8,18.0,.169,2022.0
32,16,16,.500,6.27,8.59,8,12,10,5,3,9,2124,2198,66.8,99.0,.299,.387,.522,55.1,54.4,8.3,7.6,.498,19.1,33.8,.197,2022.0
32,22,10,.688,2.43,-1.60,14,4,13,3,7,4,2385,2190,71.9,103.3,.353,.309,.552,51.9,54.8,12.6,11.9,.525,19.6,34.5,.239,2022.0
30,11,19,.367,-10.34,-4.07,5,11,7,8,4,11,2090,2144,67.5,101.5,.248,.410,.525,51.0,56.2,10.3,8.4,.502,16.4,29.6,.171,2022.0
31,18,13,.581,-6.63,-5.43,10,8,13,4,5,9,2261,2267,68.6,105.9,.269,.403,.539,48.8,42.5,9.7,8.1,.506,13.5,27.0,.203,2022.0
33,16,17,.485,10.12,7.82,9,11,11,5,3,8,2553,2477,68.5,110.9,.283,.392,.555,49.0,52.7,10.0,11.6,.525,13.3,29.2,.208,2022.0
31,14,17,.452,-3.18,-0.50,9,9,10,5,4,12,2002,2025,65.7,97.8,.343,.304,.511,47.1,49.5,11.6,7.4,.465,16.2,28.0,.259,2022.0
34,21,13,.618,13.72,10.16,8,10,12,4,4,6,2328,2207,67.2,101.1,.314,.317,.516,56.0,53.8,9.5,11.2,.487,17.9,37.8,.212,2022.0
29,17,12,.586,4.61,4.30,10,7,11,3,5,6,1936,1927,67.1,98.6,.397,.382,.495,51.7,52.7,10.0,12.6,.454,15.7,32.7,.269,2022.0
35,27,8,.771,20.46,9.94,14,4,16,0,6,5,2571,2203,68.6,106.2,.290,.402,.536,52.2,63.0,13.5,12.9,.507,15.2,32.5,.207,2022.0
32,14,18,.438,-9.34,-7.31,8,10,8,5,5,11,2282,2246,69.8,101.8,.318,.326,.535,51.1,47.6,9.6,9.7,.502,17.2,30.3,.227,2022.0
32,11,21,.344,-7.27,-3.03,7,10,7,7,3,12,2328,2357,70.6,102.2,.235,.328,.524,50.9,57.1,10.2,10.0,.505,16.0,31.6,.155,2022.0
30,8,22,.267,-11.13,-3.02,4,14,5,8,2,13,2067,2206,70.6,97.6,.263,.373,.500,49.5,46.3,9.4,12.2,.471,16.2,30.5,.184,2022.0
34,22,12,.647,17.01,8.87,10,8,16,3,4,7,2339,2062,64.5,105.9,.320,.361,.538,50.8,54.1,11.8,10.1,.501,15.3,31.5,.239,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
40,27,13,.675,12.93,7.42,9,9,16,4,5,5,2908,2643,68.6,104.7,.353,.342,.533,50.5,52.3,14.3,9.9,.499,16.1,34.3,.249,2022.0
35,23,12,.657,-6.78,-9.10,7,7,9,4,7,6,2682,2454,72.3,105.5,.364,.313,.537,53.0,56.0,11.7,5.6,.495,16.5,34.6,.269,2022.0
32,19,13,.594,-3.30,-6.24,13,5,7,2,8,10,2209,2115,69.7,98.6,.336,.309,.514,53.2,42.7,7.9,13.6,.482,18.2,33.0,.228,2022.0
29,21,8,.724,0.14,-2.86,12,3,12,1,7,6,2043,1834,65.6,107.0,.318,.306,.555,51.9,47.9,9.8,11.1,.520,16.3,31.6,.239,2022.0
37,27,10,.730,20.08,8.65,12,6,18,0,3,7,2667,2244,67.3,106.0,.351,.341,.556,54.6,52.2,11.8,12.0,.526,17.2,33.2,.245,2022.0
31,8,23,.258,-10.18,-1.28,3,15,4,9,3,12,2212,2438,73.2,97.5,.416,.374,.536,47.2,49.9,7.1,8.5,.498,18.8,25.1,.289,2022.0
31,13,18,.419,-6.80,-1.97,6,12,7,8,5,9,2381,2382,71.0,106.0,.295,.498,.554,49.5,59.7,6.5,9.1,.533,14.9,25.4,.198,2022.0
34,26,8,.765,6.26,-3.22,17,3,13,2,9,5,2717,2334,70.3,113.7,.280,.313,.565,53.2,51.0,7.9,7.5,.535,12.6,30.3,.211,2022.0
34,25,9,.735,6.47,-2.15,15,3,12,2,11,5,2478,2185,66.2,109.7,.339,.382,.549,54.5,52.6,10.9,8.5,.516,15.2,35.2,.243,2022.0
32,20,12,.625,-3.56,-3.52,10,6,10,3,8,6,2214,2100,68.6,99.3,.329,.405,.528,52.5,57.3,11.3,6.3,.491,19.0,31.6,.240,2022.0
29,14,15,.483,6.74,5.33,10,8,9,4,3,8,2121,2080,69.3,104.1,.334,.386,.551,44.7,53.4,11.3,10.0,.512,13.7,19.9,.252,2022.0
31,11,20,.355,1.56,4.07,4,14,8,8,1,10,2089,2167,67.3,100.1,.310,.361,.530,48.4,49.0,10.2,7.2,.496,16.8,26.7,.225,2022.0
35,27,8,.771,10.90,-0.14,14,4,16,2,7,4,2811,2336,70.4,112.9,.284,.332,.560,53.1,43.8,13.4,11.6,.530,13.8,33.7,.210,2022.0
24,13,11,.542,-3.70,-4.29,6,6,7,5,5,4,1628,1593,67.9,99.4,.291,.321,.524,49.3,45.3,8.8,7.8,.493,16.2,26.0,.205,2022.0
25,15,10,.600,1.59,-0.93,10,5,9,1,6,7,1656,1507,66.1,100.3,.296,.282,.527,53.0,44.8,9.1,9.4,.488,17.7,30.7,.227,2022.0
28,16,12,.571,-0.92,-1.89,10,7,10,4,6,7,1865,1784,66.1,99.5,.268,.407,.536,52.1,54.6,7.8,3.3,.507,16.5,24.1,.193,2022.0
29,13,16,.448,-7.04,-3.78,7,11,9,4,4,11,2036,2046,68.5,102.0,.321,.456,.562,46.4,56.7,8.4,4.6,.528,16.7,18.5,.240,2022.0
28,17,11,.607,1.38,-4.39,9,6,11,3,5,7,2066,1841,67.0,107.8,.374,.300,.574,53.2,58.0,9.1,7.7,.544,17.1,29.3,.265,2022.0
30,18,12,.600,6.23,4.63,9,9,13,3,4,8,2095,2047,68.1,102.2,.285,.431,.528,49.7,58.8,10.2,10.9,.499,16.5,30.8,.201,2022.0
35,27,8,.771,19.30,8.36,15,5,14,1,8,4,2639,2256,66.5,111.4,.294,.312,.539,52.5,50.3,10.3,9.6,.505,11.3,31.4,.218,2022.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2022.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2022.0
32,17,15,.531,-4.52,-5.28,8,8,9,6,6,7,2410,2201,68.0,108.3,.368,.398,.565,48.7,49.0,9.3,12.2,.530,15.6,27.7,.267,2022.0
32,17,15,.531,-2.47,-1.99,9,9,9,5,7,6,2083,2079,63.2,101.8,.278,.393,.528,54.0,51.5,10.0,5.8,.498,17.4,33.3,.200,2022.0
36,27,9,.750,-0.66,-2.84,15,3,12,2,9,5,2596,2483,66.7,105.8,.336,.362,.526,47.5,42.4,11.2,10.7,.485,12.8,28.0,.249,2022.0
29,11,18,.379,-5.49,-0.94,7,10,8,4,3,13,1948,1993,66.5,97.6,.288,.346,.505,50.1,57.0,11.4,12.2,.473,17.4,31.6,.202,2022.0
31,11,20,.355,5.45,6.61,4,16,7,9,2,9,2161,2197,67.2,102.9,.300,.394,.526,50.2,55.5,6.8,7.5,.484,15.6,29.3,.232,2022.0
